Идентификатор вакансии;Наименование вакансии;Город;Работодатель;Дата публикации;Дата создания;График работы;Тип трудоустройства;Требуемый опыт;Количество откликов на вакансию с момента публикации;Количество откликов на вакансию с момента создания;Начальная граница З/П;Конечная граница З/П;Итоговая З/П;Ключевые навыки;Профессиональные роли;Кол-во ключевых навыков
102298947;Junior Frontend-разработчик;Нижний Новгород;vNorme;2024-06-19 17:26:23;2024-06-19 17:26:23;Удаленная работа;Полная занятость;От 1 года до 3 лет;33;33;26100;43500;34800;;Программист, разработчик;0
99979911;Frontend разработчик (JavaScript/TypeScript);Москва;ИТ-Капитал;2024-06-19 17:26:11;2024-06-19 17:26:11;Гибкий график;Полная занятость;Более 6 лет;806;806;;300000;150000;CSS,Frontend,HTML,JavaScript,TypeScript;Программист, разработчик;5
81953523;Программист 1С;Волгоград;ФБУ Волгоградский ЦСМ;2024-06-19 17:26:05;2024-06-19 17:26:05;Полный день;Полная занятость;От 3 до 6 лет;0;9;40000;;20000;1С: Предприятие 8,1С программирование;Программист, разработчик;2
101282522;Программист Bitrix (Senior);Москва;Ирбис-Т;2024-06-19 17:24:41;2024-06-19 17:24:41;Полный день;Полная занятость;От 3 до 6 лет;25;25;200000;;100000;1С-Битрикс,CMS,CSS,Git,HTML,JavaScript,MySQL,PHP,SEO,Создание сайтов,SQL,Веб-программирование;Программист, разработчик;12
101522062;Middle Backend developer (Kotlin/Java);Краснодар;АйТиСи Солюшенс;2024-06-19 17:23:50;2024-06-19 17:23:50;Удаленная работа;Полная занятость;От 3 до 6 лет;81;81;150000;;75000;Docker,Flyway,GitLab,Gradle,Java,JUnit,Kotlin,postgres,rancher,Spring,testcontainers;Другое;11
102298807;Программист 1С;Санкт-Петербург;Важная рыба;2024-06-19 17:23:27;2024-06-19 17:23:27;Полный день;Полная занятость;От 3 до 6 лет;0;0;156600;;78300;;Программист, разработчик;0
101522045;Программист 1C;Москва;BrainHub;2024-06-19 17:23:20;2024-06-19 17:23:20;Полный день;Полная занятость;От 3 до 6 лет;19;19;217500;261000;239250;1C: Бухгалтерия,1С: БП,1С: Документооборот,1С: ERP,1С: Предприятие 8,1С: Управление Холдингом,1С: Управление Торговлей,1С: Зарплата и управление персоналом,1С программирование,ERP-системы на базе 1С,SQL;Программист, разработчик;11
95644815;Программист 1C;Москва;Бета-Сервис;2024-06-19 17:22:28;2024-06-19 17:22:28;Полный день;Полная занятость;От 1 года до 3 лет;2;21;150000;180000;165000;;Программист, разработчик;0
102298736;Middle Python-разработчик;Москва;BYTIME;2024-06-19 17:22:23;2024-06-19 17:22:23;Полный день;Полная занятость;От 1 года до 3 лет;8;8;150000;;75000;API,Clickhouse,Linux,MySQL,ORACLE,pandas,PostgreSQL,Python,Requests,Selenium;Программист, разработчик;10
95226797;Middle PHP laravel/symfony разработчик;Ульяновск;FrameWork Team;2024-06-19 17:22:09;2024-06-19 17:22:09;Удаленная работа;Полная занятость;От 1 года до 3 лет;0;266;80000;120000;100000;;Другое;0
101394177;Программист 1С;Москва;Сантоп;2024-06-19 17:22:00;2024-06-19 17:22:00;Полный день;Полная занятость;От 1 года до 3 лет;0;14;250000;;125000;;Программист, разработчик;0
101282343;PHP Разработчик/Developer;Екатеринбург;Рулю;2024-06-19 17:21:21;2024-06-19 17:21:21;Полный день;Полная занятость;От 3 до 6 лет;150;150;;250000;125000;PHP;Программист, разработчик;1
101282322;Business Development Manager;Санкт-Петербург;AdChampagne;2024-06-19 17:21:13;2024-06-19 17:21:13;Полный день;Полная занятость;От 1 года до 3 лет;21;21;100000;;50000;Английский язык,B2B Продажи,Sales Planning;Менеджер по продажам, менеджер по работе с клиентами;3
101661071;Backend разработчик (Laravel);Магнитогорск;Amigoweb;2024-06-19 17:20:23;2024-06-19 17:20:23;Удаленная работа;Полная занятость;От 3 до 6 лет;120;120;;140000;70000;Git,Laravel,ООП,PHP,PostgreSQL;Программист, разработчик;5
101660933;Flutter-разработчик (middle);Москва;Диджитал медикэл оперейшнс;2024-06-19 17:18:29;2024-06-19 17:18:29;Удаленная работа;Полная занятость;От 1 года до 3 лет;161;161;;200000;100000;Flutter,Git,ООП,SOLID;Программист, разработчик;4
101877476;Методист (Junior) / Разработчик образовательного контента;Москва;Union University;2024-06-19 17:18:24;2024-06-19 17:18:24;Полный день;Полная занятость;Нет опыта;32;32;45000;;22500;;Психолог;0
101660925;Middle/Senior Java-разработчик Quarkus(офис/гибрид);Москва;ЭВРИТЕГ;2024-06-19 17:18:13;2024-06-19 17:18:13;Сменный график;Полная занятость;От 1 года до 3 лет;93;93;200000;;100000;Docker,Gradle,Java,Java EE,Kotlin,MongoDB,Nginx,Quarkus,Spring Framework;Программист, разработчик;9
101521679;Программист 1С-Битрикс;Краснодар;proTarget;2024-06-19 17:17:31;2024-06-19 17:17:31;Удаленная работа;Полная занятость;От 1 года до 3 лет;27;27;35000;60000;47500;1С-Битрикс,Bitrix D7,Bitrix Framework,CSS,Git,MySQL,PHP,SQL;Программист, разработчик;8
100630321;Инженер-программист микроконтроллеров;Москва;ЭМИКОН;2024-06-19 17:16:15;2024-06-19 17:16:15;Полный день;Полная занятость;От 1 года до 3 лет;12;12;100000;150000;125000;C/C++,CODESYS,Готовность к командировкам,Микроконтроллеры,Разработка ПО,SCADA,Unity;Программист, разработчик;7
